"","LadlabID","prod_tomerge","ihc_tomerge","fhc_tomerge","dce","sup.raw","reminders.total","reminders.recovered","notes_SL"
"29","infinity-036","prod",54,100,NA,NA,NA,NA,"beginning of the audio clip is cut off child starts counting from 74"
"30","infinity-037","prod",12,59,NA,"[60], no, [What if I count 58, 59, 60], no.",4,4,""
"31","infinity-040","nonprod",29,39,29,"[30],31-39,[40],50",NA,NA,"not audio recorded"
"32","infinity-041","prod",12,98,NA,"[40],41-49,[do you know what's after 49?] ya. [Why aren't we outside? [so if I tell you that after 49 comes 50..] 51-59 [Do you know what comes after 59?] yeah. Well I saw a bird. [so what if I tell you after 59 comes 60?] 61-69 [So you do you know what comes after 69?] .. [70] 71-79 [What comes after 79? If I told you that 80 comes after 79. 79, 80..] 80. 81-89. [89, do you know what comes after 89? 90 comes after 89]. 91-98, [What comes after? do you know what comes after 98?]",0,0,""
"33","infinity-042","nonprod",13,13,NA,NA,0,0,""
"34","infinity-045","prod",120,120,NA,NA,1,1,""
"35","infinity-046","prod",150,150,NA,"",0,0,""
"36","infinity-047","nonprod",12,12,NA,NA,NA,NA,"child whispering so couldn't really hear also beginning seems to have been cut off"
"37","infinity-048","prod",65,100,89,NA,NA,NA,"says audio recorded but not on server"
"38","infinity-049","nonprod",19,29,19,"[20],24-29,22,[30],idk",NA,NA,"says audio recorded but not on server"
"39","infinity-052","nonprod",6,6,NA,NA,0,0,""
"40","infinity-053","nonprod",12,12,NA,NA,1,0,""
"41","infinity-054","nonprod",10,10,NA,NA,2,1,""
"42","infinity-055","prod",100,100,NA,NA,5,5,""
"43","infinity-056","prod",119,119,NA,NA,3,3,""
"44","infinity-057","prod",76,109,NA,NA,3,3,""
"45","infinity-058","prod",109,120,NA,"[110],111-120",1,1,""
"46","infinity-059","prod",39,119,39,"[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",3,3,""
