"","prod_tomerge","spon.raw","sup.raw","ihc","fhc","dce","decadeprompt","error.start","error.end","alldecadesprompted","notes","LadlabID"
"67","prod","1-76,79,[75,76],77-100,101-109,1 million",NA,76,99,NA,NA,77,77,NA,"","infinity-057"
"68","prod","1-109","[110],111-120",99,99,NA,NA,NA,NA,NA,"","infinity-058"
"69","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,40,65,66,"40,50,60,70,80,90","","infinity-059"
"70","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,50,NA,NA,"40,50,60,70,80,90","","infinity-059"
"71","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,60,NA,NA,"40,50,60,70,80,90","","infinity-059"
"72","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,70,NA,NA,"40,50,60,70,80,90","","infinity-059"
"73","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,80,NA,NA,"40,50,60,70,80,90","","infinity-059"
"74","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,90,NA,NA,"40,50,60,70,80,90","","infinity-059"
"75","nonprod","1-20,24-30,41-48,49,60-69,30","[70],71-79,16,[80],81-89,[90],91-99,[100]",20,69,NA,NA,21,23,NA,"","infinity-060"
"76","nonprod","1-20,24-30,41-48,49,60-69,30","[70],71-79,16,[80],81-89,[90],91-99,[100]",20,69,NA,NA,31,40,NA,"","infinity-060"
"77","nonprod","1-20,24-30,41-48,49,60-69,30","[70],71-79,16,[80],81-89,[90],91-99,[100]",20,69,NA,NA,50,59,NA,"","infinity-060"
"78","nonprod","1-19,21-24,26-29,89,87,84,81,82,85,89,87,89,71-74,76,79,78,79,79,77,89,87,86,88,89,89,86,11,12","[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",19,29,NA,NA,20,20,NA,"","infinity-062"
"79","nonprod","1-19,21-24,26-29,89,87,84,81,82,85,89,87,89,71-74,76,79,78,79,79,77,89,87,86,88,89,89,86,11,12","[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",19,29,NA,NA,25,25,NA,"","infinity-062"
"80","nonprod","1-15,17-20,40,how about 30,79",NA,15,20,NA,NA,16,16,NA,"","infinity-066"
"81","nonprod","1-20,twenty-11,-twenty-15",NA,20,20,NA,NA,NA,NA,NA,"","infinity-067"
"82","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,40,NA,NA,"40,50,60,70,80,90","","infinity-068"
"83","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,50,NA,NA,"40,50,60,70,80,90","","infinity-068"
"84","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,60,NA,NA,"40,50,60,70,80,90","","infinity-068"
"85","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,70,NA,NA,"40,50,60,70,80,90","","infinity-068"
"86","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,80,NA,NA,"40,50,60,70,80,90","","infinity-068"
"87","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,90,NA,NA,"40,50,60,70,80,90","","infinity-068"
"88","nonprod","1-14,17,18",NA,14,14,NA,NA,NA,NA,NA,"","infinity-069"
"89","nonprod","1-38.",NA,38,38,NA,NA,NA,NA,NA,"","infinity-070"
"90","nonprod","1-39, thirty ten","[40] IDK",39,39,39,40,NA,NA,"40","","infinity-071"
"91","nonprod","1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,16,16,NA,"","infinity-073"
"92","nonprod","1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,20,20,NA,"","infinity-073"
"93","nonprod","1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,26,27,NA,"","infinity-073"
"94","nonprod","1-14,16-21,2,3,4,5[20,21]22-29","[30]idk",14,29,29,30,15,15,"30","","infinity-074"
"95","prod","1-29,80,81[experimenter stopped]","[30]31-90,92-99,80[100]idk",29,99,29,30,91,91,"30","","infinity-075"
"96","prod","1-69.","[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,70,NA,NA,"70,80,90","","infinity-076"
"97","prod","1-69.","[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,80,NA,NA,"70,80,90","","infinity-076"
"98","prod","1-69.","[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,90,NA,NA,"70,80,90","","infinity-076"
"99","prod","1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,30,15,15,"30,40,50","","infinity-077"
"100","prod","1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,40,NA,NA,"30,40,50","","infinity-077"
"101","prod","1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,50,NA,NA,"30,40,50","","infinity-077"
"102","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,60,31,40,"60,70,80,90","","infinity-078"
"103","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,70,NA,NA,"60,70,80,90","","infinity-078"
"104","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,80,NA,NA,"60,70,80,90","","infinity-078"
"105","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,90,NA,NA,"60,70,80,90","","infinity-078"
"106","nonprod","1-12,14,16,17-29,40","[30],21,22-29,20-30,40,[30],31-38,29,[30]",12,29,NA,NA,13,13,NA,"","infinity-079"
"107","nonprod","1-12,14,16,17-29,40","[30],21,22-29,20-30,40,[30],31-38,29,[30]",12,29,NA,NA,15,15,NA,"","infinity-079"
"108","nonprod","1-36,39","[40],41-44",36,44,39,40,37,38,"40","","infinity-080"
"109","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,50,34,43,"50,60,70,80","","infinity-081"
"110","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,60,76,76,"50,60,70,80","","infinity-081"
"111","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,70,NA,NA,"50,60,70,80","","infinity-081"
"112","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,80,NA,NA,"50,60,70,80","","infinity-081"
"113","prod","1-77,79-87,89-100,idk",NA,77,99,NA,NA,78,78,NA,"","infinity-084"
"114","prod","1-77,79-87,89-100,idk",NA,77,99,NA,NA,88,88,NA,"","infinity-084"
"115","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,50,30,39,"50,60,70,80,90","","infinity-085"
"116","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,60,66,67,"50,60,70,80,90","","infinity-085"
"117","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,70,NA,NA,"50,60,70,80,90","","infinity-085"
"118","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,80,NA,NA,"50,60,70,80,90","","infinity-085"
"119","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,90,NA,NA,"50,60,70,80,90","","infinity-085"
"120","prod","1--49","[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,50,NA,NA,"50,60,70,80,90","","infinity-086"
"121","prod","1--49","[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,60,NA,NA,"50,60,70,80,90","","infinity-086"
"122","prod","1--49","[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,70,NA,NA,"50,60,70,80,90","","infinity-086"
"123","prod","1--49","[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,80,NA,NA,"50,60,70,80,90","","infinity-086"
"124","prod","1--49","[50]-59, [60]-69, [70]-79, [80]-89, [90]-99, [100]-109, [110]-113",49,99,49,90,NA,NA,"50,60,70,80,90","","infinity-086"
"125","prod","1-100","[101] NR",99,99,NA,NA,NA,NA,NA,"","infinity-087"
"126","nonprod","1-29,21,22,11","[30],22",29,29,29,30,NA,NA,"30","","infinity-088"
"127","nonprod","1-5,1",NA,5,5,NA,NA,NA,NA,NA,"","infinity-089"
"128","nonprod","1-9,7,8,11",NA,9,9,NA,NA,NA,NA,NA,"","infinity-090"
"129","nonprod","1-29.","29,[30]",29,29,29,30,NA,NA,"30","","infinity-091"
"130","nonprod","1-14,16-29,twenty-ten, 16","[30],21-27,29,22",14,29,29,30,15,15,"30","","infinity-092"
"131","nonprod","1-12,14,16,17,21,28,29,26","[30],35,7",12,12,NA,NA,13,13,NA,"","infinity-093"
"132","prod","1-67,66-109,pause,110-120",NA,99,99,NA,NA,NA,NA,NA,"","infinity-096"
"133","nonprod","1-14,16,28,29,26-29,30,32-34,25-29,26","[30],31,32,32,34-39,37,[40],idk",14,34,NA,NA,15,15,NA,"","infinity-097"
"134","nonprod","1-14,16,28,29,26-29,30,32-34,25-29,26","[30],31,32,32,34-39,37,[40],idk",14,34,NA,NA,17,24,NA,"","infinity-097"
"135","nonprod","1-14,16,28,29,26-29,30,32-34,25-29,26","[30],31,32,32,34-39,37,[40],idk",14,34,NA,NA,31,31,NA,"","infinity-097"
"136","nonprod","1-14,16-29,28,26-29,26-29,20","[30],40,16-29,[30]",14,29,29,30,15,15,"30","","infinity-098"
"137","nonprod","1-16,19,20,29,24,23,21,25",NA,16,16,NA,NA,NA,NA,NA,"","infinity-099"
"138","prod","1-59.","[60]61-79[80]81-89[90]91-99[100]",59,99,59,60,NA,NA,"60,80,90","","infinity-100"
"139","prod","1-59.","[60]61-79[80]81-89[90]91-99[100]",59,99,59,80,NA,NA,"60,80,90","","infinity-100"
"140","prod","1-59.","[60]61-79[80]81-89[90]91-99[100]",59,99,59,90,NA,NA,"60,80,90","","infinity-100"
"141","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,40,NA,NA,"40,50,60,70","","infinity-101"
"142","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,50,NA,NA,"40,50,60,70","","infinity-101"
"143","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,60,NA,NA,"40,50,60,70","","infinity-101"
"144","prod","1-39,50.","[40]41-49, 80?[50]51-59,30?[60]61-69[70]71-79[Mom asked, what comes after 7?]8. 80,88,81-120.",39,99,39,70,NA,NA,"40,50,60,70","","infinity-101"
"145","prod","1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,64,64,NA,"","infinity-103"
"146","prod","1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,84,87,NA,"","infinity-103"
"147","prod","1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,94,99,NA,"","infinity-103"
"148","prod","1-120 (could keep going)",NA,99,99,NA,NA,NA,NA,NA,"","infinity-105"
"149","prod","1-109,big pause,110-120[experimenter stopped]",NA,99,99,NA,NA,NA,NA,NA,"","infinity-106"
"150","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,50,66,66,"50,60,70,80,90","","infinity-107"
"151","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,60,78,78,"50,60,70,80,90","","infinity-107"
"152","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,70,95,98,"50,60,70,80,90","","infinity-107"
"153","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,80,NA,NA,"50,60,70,80,90","","infinity-107"
"154","prod","1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,90,NA,NA,"50,60,70,80,90","","infinity-107"
"155","nonprod","1-29,18,19,20[29],30,40,50,16-29","[30]11",29,29,29,30,NA,NA,"30","","infinity-108"
"156","nonprod","1-29,28,27","[30]",29,29,29,30,NA,NA,"30","","infinity-109"
"157","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,50,88,88,"50,60,70,90","","infinity-110"
"158","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,60,NA,NA,"50,60,70,90","","infinity-110"
"159","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,70,NA,NA,"50,60,70,90","","infinity-110"
"160","prod","1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,90,NA,NA,"50,60,70,90","","infinity-110"
"161","prod","1-29,40-49","[50]51-59[60]61-79,90[80]81-110",29,99,49,50,30,39,"50,60,80","","infinity-111"
"162","prod","1-29,40-49","[50]51-59[60]61-79,90[80]81-110",29,99,49,60,NA,NA,"50,60,80","","infinity-111"
"163","prod","1-29,40-49","[50]51-59[60]61-79,90[80]81-110",29,99,49,80,NA,NA,"50,60,80","","infinity-111"
"164","prod","1-120",NA,99,99,NA,NA,NA,NA,NA,"","infinity-112"
"165","prod","1-109, ten hundred",NA,99,99,NA,NA,NA,NA,NA,"","infinity-113"
"166","prod","1-29,50.","[30]31-109.",29,99,29,30,NA,NA,"30","","infinity-114"
"167","prod","1-100,a thousand one [100] 101-109,100",NA,99,99,NA,NA,NA,NA,NA,"","infinity-115"
"168","nonprod","1-16.",NA,16,16,NA,NA,NA,NA,NA,"","infinity-116"
"169","nonprod","1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,15,15,NA,"","infinity-117"
"170","nonprod","1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,35,44,NA,"","infinity-117"
"171","nonprod","1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,66,66,NA,"","infinity-117"
"172","nonprod","1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,81,89,NA,"","infinity-117"
"173","prod","1-110, no more",NA,99,99,NA,NA,NA,NA,NA,"","infinity-118"
"174","prod","1-49,idk","[50]51-59[60]61-79[80]81-89[90]91-99[100]101-109.",49,99,49,50,NA,NA,"50,60,80,90","","infinity-119"
"175","prod","1-49,idk","[50]51-59[60]61-79[80]81-89[90]91-99[100]101-109.",49,99,49,60,NA,NA,"50,60,80,90","","infinity-119"
"176","prod","1-49,idk","[50]51-59[60]61-79[80]81-89[90]91-99[100]101-109.",49,99,49,80,NA,NA,"50,60,80,90","","infinity-119"
"177","prod","1-49,idk","[50]51-59[60]61-79[80]81-89[90]91-99[100]101-109.",49,99,49,90,NA,NA,"50,60,80,90","","infinity-119"
"178","prod","1-8, I'm not really good, 1-29,40-49,30-39,50-59,40-49,60-69","[70]71-79[80]81-89,50,[90]91-109,50",29,99,69,70,30,39,"70,80,90","","infinity-120"
"179","prod","1-8, I'm not really good, 1-29,40-49,30-39,50-59,40-49,60-69","[70]71-79[80]81-89,50,[90]91-109,50",29,99,69,80,NA,NA,"70,80,90","","infinity-120"
"180","prod","1-8, I'm not really good, 1-29,40-49,30-39,50-59,40-49,60-69","[70]71-79[80]81-89,50,[90]91-109,50",29,99,69,90,NA,NA,"70,80,90","","infinity-120"
"181","prod","1-40,50-59,30","[60]61-69[70]71-77",40,77,59,60,41,49,"60,70","","infinity-121"
"182","prod","1-40,50-59,30","[60]61-69[70]71-77",40,77,59,70,NA,NA,"60,70","","infinity-121"
"183","prod","1-29,40-48(prompt 25,26,27)28-44,49,80","[50]51-59[60]61-69[70].",49,69,49,50,NA,NA,"50,60,70","","infinity-122"
"184","prod","1-29,40-48(prompt 25,26,27)28-44,49,80","[50]51-59[60]61-69[70].",49,69,49,60,NA,NA,"50,60,70","","infinity-122"
"185","prod","1-29,40-48(prompt 25,26,27)28-44,49,80","[50]51-59[60]61-69[70].",49,69,49,70,NA,NA,"50,60,70","","infinity-122"
