LadlabID,prod_tomerge,spon.raw,sup.raw,ihc,fhc,dce,decadesprompted,error.start,error.end,decadeprompt,notes
010516-K4,nonprod,"1-13,15-29,26,27","[30],9",13,29,29,30,14,14,30,
010916-D5,prod,1-111.,NA,99,99,NA,NA,NA,NA,NA,
011216-KD1,nonprod,"1-5,11,12,16,9,12,16.",NA,5,5,NA,NA,NA,NA,NA,
011216-WB,nonprod,"1-15,20-24,26-30,36,37,59.",NA,15,30,NA,NA,16,19,NA,
011216-WB,nonprod,"1-15,20-24,26-30,36,37,59.",NA,15,30,NA,NA,25,25,NA,
011316-SC,nonprod,"1-39,80.",[40],39,39,39,40,NA,NA,40,
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,30,NA,NA,"30,40,50,60,70,80,90",
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,40,NA,NA,"30,40,50,60,70,80,90",
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,50,NA,NA,"30,40,50,60,70,80,90",
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,60,NA,NA,"30,40,50,60,70,80,90",
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,70,NA,NA,"30,40,50,60,70,80,90",
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,80,NA,NA,"30,40,50,60,70,80,90",
012016-AD,prod,"1-29,40.","[30],31-39,[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90]",29,89,29,90,NA,NA,"30,40,50,60,70,80,90",
012316-AK,nonprod,"1-26,29,22-38.",NA,38,38,NA,NA,NA,NA,NA,
012316-BO,nonprod,1-20.,NA,20,20,NA,NA,NA,NA,NA,
012517-AD,prod,"1-39,50-109,a billion, a billion and one-, a billion and two, a billion and three, a billion and four, a billion and five, a billion and six, a billion and seven, a billion and eight, a billion and nine, a jillion. [37,38,39],40-55",NA,99,99,NA,NA,NA,NA,NA,
020116-E,prod,"1-29, twenty-ten","[30],31-39,[40],41-49,[50],idk",29,49,29,30,NA,NA,"30,40,50",
020116-E,prod,"1-29, twenty-ten","[30],31-39,[40],41-49,[50],idk",29,49,29,40,NA,NA,"30,40,50",
020116-E,prod,"1-29, twenty-ten","[30],31-39,[40],41-49,[50],idk",29,49,29,50,NA,NA,"30,40,50",
022016-J1,nonprod,"1-13,16,17,25, 65",NA,13,13,NA,NA,NA,NA,NA,
022316-AB,nonprod,"1-77,107",NA,77,77,NA,NA,NA,NA,NA,
022316-AC,prod,1-110.,NA,99,99,NA,NA,NA,NA,NA,
022316-KH,nonprod,1-40.,NA,40,40,NA,NA,NA,NA,NA,
022316-VC,prod,1-100.,NA,99,99,NA,NA,NA,NA,NA,
022316-VP,prod,1-110.,NA,99,99,NA,NA,NA,NA,NA,
022516-DH,nonprod,"1-14,16,11,11teen,19,21-24,27,29teen.",NA,14,24,NA,NA,15,15,NA,
022516-DH,nonprod,"1-14,16,11,11teen,19,21-24,27,29teen.",NA,14,24,NA,NA,17,18,NA,
022516-DH,nonprod,"1-14,16,11,11teen,19,21-24,27,29teen.",NA,14,24,NA,NA,20,20,NA,
