LadlabID,prod_tomerge,spon.raw,sup.raw,ihc,fhc,dce,decadesprompted,error.start,error.end,decadeprompt,notes
041517-G,prod,"1-63,65-83,88-93,100-109,111,112",NA,63,99,NA,NA,94,99,NA,
041517-OX,prod,1-120 (could keep going),NA,99,99,NA,NA,NA,NA,NA,
041517-SR,prod,"1-109,big pause,110-120[experimenter stopped]",NA,99,99,NA,NA,NA,NA,NA,
041917-IM,prod,"1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,50,66,66,"50,60,70,80,90",
041917-IM,prod,"1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,60,78,78,"50,60,70,80,90",
041917-IM,prod,"1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,70,95,98,"50,60,70,80,90",
041917-IM,prod,"1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,80,NA,NA,"50,60,70,80,90",
041917-IM,prod,"1-49,11","[50]51-59,30[60]61-65,67-69,30[70]71-77,79,what's next[80]81-89,30[90]91-94,99,[100]101-109,130[110]130",49,99,49,90,NA,NA,"50,60,70,80,90",
042517-AR,nonprod,"1-29,18,19,20[29],30,40,50,16-29",[30]11,29,29,29,30,NA,NA,30,
042517-KS,nonprod,"1-29,28,27",[30],29,29,29,30,NA,NA,30,
042917-AH,prod,"1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,50,88,88,"50,60,70,90",
042917-AH,prod,"1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,60,NA,NA,"50,60,70,90",
042917-AH,prod,"1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,70,NA,NA,"50,60,70,90",
042917-AH,prod,"1-34,35,36,37-40[38,39,40]41-49","[50]51-59,40,[60]61-69,80[70]71-87,86,89[90]91-99",49,99,49,90,NA,NA,"50,60,70,90",
042917-EX,prod,"1-29,40-49","[50]51-59[60]61-79,90[80]81-110",29,99,49,50,30,39,"50,60,80",
042917-EX,prod,"1-29,40-49","[50]51-59[60]61-79,90[80]81-110",29,99,49,60,NA,NA,"50,60,80",
042917-EX,prod,"1-29,40-49","[50]51-59[60]61-79,90[80]81-110",29,99,49,80,NA,NA,"50,60,80",
042917-LD,prod,1-120,NA,99,99,NA,NA,NA,NA,NA,
042917-LM,prod,"1-109, ten hundred",NA,99,99,NA,NA,NA,NA,NA,
042917-NY,prod,"1-29,50.",[30]31-109.,29,99,29,30,NA,NA,30,
042917-RHR,prod,"1-100,a thousand one [100] 101-109,100",NA,99,99,NA,NA,NA,NA,NA,
050217-A1,nonprod,1-16.,NA,16,16,NA,NA,NA,NA,NA,
050217-BR,nonprod,"1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,15,15,NA,
050217-BR,nonprod,"1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,35,44,NA,
050217-BR,nonprod,"1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,66,66,NA,
050217-BR,nonprod,"1-14,16-34,45-65,67-80,90,91-100",NA,14,99,NA,NA,81,89,NA,
