"","LadlabID","Sex","Age","AgeGroup","AgeMonths","HCReceivedSupport","IHC","DCE","FHC","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary"
"69","infinity-100","f",5.75,"5.5-6y",69,"1",59,59,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"70","infinity-101","m",5.18,"5-5.5y",62,"1",39,39,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"71","infinity-103","m",5.5,"5-5.5y",66,"0",63,NA,99,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive"
"72","infinity-105","m",5.5,"5-5.5y",66,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"73","infinity-106","f",5.84,"5.5-6y",70,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"74","infinity-107","f",5.01,"5-5.5y",60,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"75","infinity-108","f",5.28,"5-5.5y",63,"1",29,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"76","infinity-109","f",5.4,"5-5.5y",64,"1",29,29,29,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"77","infinity-110","f",5.28,"5-5.5y",63,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"78","infinity-111","f",5.96,"5.5-6y",71,"1",29,29,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"79","infinity-112","f",5.31,"5-5.5y",63,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"80","infinity-113","m",5.89,"5.5-6y",70,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"81","infinity-114","m",5.58,"5.5-6y",66,"1",29,29,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"82","infinity-115","m",5.06,"5-5.5y",60,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"83","infinity-116","f",5.19,"5-5.5y",62,"0",16,NA,16,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"84","infinity-117","m",5.31,"5-5.5y",63,"0",14,NA,99,"Nonproductive","Nonproductive","Nonproductive","Nonproductive"
"85","infinity-118","f",5.02,"5-5.5y",60,"0",99,NA,99,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)"
"86","infinity-119","f",5.24,"5-5.5y",62,"1",49,49,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"87","infinity-120","f",5.36,"5-5.5y",64,"1",29,29,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"88","infinity-121","m",5.35,"5-5.5y",64,"1",40,59,77,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"89","infinity-122","f",5.52,"5.5-6y",66,"1",49,49,69,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"90","infinity-123","m",5.17,"5-5.5y",62,"1",49,69,99,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)"
"91","infinity-124","m",5.08,"5-5.5y",60,"0",22,NA,99,"Productive","Productive (IHC < 99)","Nonproductive","Nonproductive"
