"","LadlabID","subID","productivity","spon.raw","sup.raw","ihc","fhc","dce","decadeprompt","error.start","error.end","alldecadesprompted","notes"
"51","infinity-042","14","nonprod","1-13,16.",NA,13,13,NA,NA,NA,NA,NA,""
"52","infinity-045","97","prod","1-120",NA,99,99,NA,NA,NA,NA,NA,""
"53","infinity-046","98","prod","1-150",NA,99,99,NA,NA,NA,NA,NA,""
"54","infinity-048","85","prod","1-65,69-89,91-100.",NA,65,99,NA,NA,66,68,NA,""
"55","infinity-048","85","prod","1-65,69-89,91-100.",NA,65,99,NA,NA,90,90,NA,""
"56","infinity-049","30","nonprod","1-19.","[20],24-29,22,[30],idk",19,29,19,20,21,23,"20,30",""
"57","infinity-049","30","nonprod","1-19.","[20],24-29,22,[30],idk",19,29,19,30,NA,NA,"20,30",""
"58","infinity-052","2","nonprod","1-5,4,3,2,1,1-6",NA,6,6,NA,NA,NA,NA,NA,""
"59","infinity-053","7","nonprod","1-12.",NA,12,12,NA,NA,NA,NA,NA,""
"60","infinity-054","4","nonprod","1-10,9",NA,10,10,NA,NA,NA,NA,NA,""
"61","infinity-055","99","prod","1-30,31-69,30,no,70,71-86,85,86,87-100,102",NA,99,99,NA,NA,NA,NA,NA,""
"62","infinity-056","100","prod","1-20,21-59,90,no,[59]60-100,101,102,103-119",NA,99,99,NA,NA,NA,NA,NA,""
"63","infinity-057","87","prod","1-76,79,[75,76],77-100,101-109,1 million",NA,76,99,NA,NA,77,77,NA,""
"64","infinity-058","101","prod","1-109","[110],111-120",99,99,NA,NA,NA,NA,NA,""
"65","infinity-059","55","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,40,65,66,"40,50,60,70,80,90",""
"66","infinity-059","55","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,50,NA,NA,"40,50,60,70,80,90",""
"67","infinity-059","55","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,60,NA,NA,"40,50,60,70,80,90",""
"68","infinity-059","55","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,70,NA,NA,"40,50,60,70,80,90",""
"69","infinity-059","55","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,80,NA,NA,"40,50,60,70,80,90",""
"70","infinity-059","55","prod","1-39.","[40]41-49[50]51-59[60]61-64,67-69[70]71-79[80]81-89[90]91-99[100]101-113,116-119,20,21",39,99,39,90,NA,NA,"40,50,60,70,80,90",""
"71","infinity-062","31","nonprod","1-19,21-24,26-29,89,87,84,81,82,85,89,87,89,71-74,76,79,78,79,79,77,89,87,86,88,89,89,86,11,12","[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",19,29,NA,NA,20,20,NA,""
"72","infinity-062","31","nonprod","1-19,21-24,26-29,89,87,84,81,82,85,89,87,89,71-74,76,79,78,79,79,77,89,87,86,88,89,89,86,11,12","[30],31-39,30-20,[40],49,46,47,48,47,46,48,47,44,49,49,46,46,47,47,48,48,34,33,36,37,38,39,36-38,34-35,38,36,33,34",19,29,NA,NA,25,25,NA,""
"73","infinity-066","24","nonprod","1-15,17-20,40,how about 30,79",NA,15,20,NA,NA,16,16,NA,""
"74","infinity-067","32","nonprod","1-20,twenty-11,-twenty-15",NA,20,20,NA,NA,NA,NA,NA,""
"75","infinity-068","56","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,40,NA,NA,"40,50,60,70,80,90",""
"76","infinity-068","56","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,50,NA,NA,"40,50,60,70,80,90",""
"77","infinity-068","56","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,60,NA,NA,"40,50,60,70,80,90",""
"78","infinity-068","56","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,70,NA,NA,"40,50,60,70,80,90",""
"79","infinity-068","56","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,80,NA,NA,"40,50,60,70,80,90",""
"80","infinity-068","56","prod","1-39,20","[40],41-49,[50],51-59,[60],61-69,[70],71-79,[80],81-89,[90],91-99,[100],101-109,[110]",39,99,39,90,NA,NA,"40,50,60,70,80,90",""
"81","infinity-070","52","nonprod","1-38.",NA,38,38,NA,NA,NA,NA,NA,""
"82","infinity-071","54","nonprod","1-39, thirty ten","[40] IDK",39,39,39,40,NA,NA,"40",""
"83","infinity-073","26","nonprod","1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,16,16,NA,""
"84","infinity-073","26","nonprod","1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,20,20,NA,""
"85","infinity-073","26","nonprod","1-15, 17-19. 21-25, 28-29, 98, 45, 30-35, 38, 39, 90, 98, 69, 40","[30], 39",15,35,NA,NA,26,27,NA,""
"86","infinity-074","16","nonprod","1-14,16-21,2,3,4,5[20,21]22-29","[30]idk",14,29,29,30,15,15,"30",""
"87","infinity-075","44","prod","1-29,80,81[experimenter stopped]","[30]31-90,92-99,80[100]idk",29,99,29,30,91,91,"30",""
"88","infinity-076","86","prod","1-69.","[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,70,NA,NA,"70,80,90",""
"89","infinity-076","86","prod","1-69.","[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,80,NA,NA,"70,80,90",""
"90","infinity-076","86","prod","1-69.","[70]71-79[80]81-89[90]91-109, I don't remember [108,109]110-114,116,115-119, I forget",69,99,69,90,NA,NA,"70,80,90",""
"91","infinity-077","19","prod","1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,30,15,15,"30,40,50",""
"92","infinity-077","19","prod","1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,40,NA,NA,"30,40,50",""
"93","infinity-077","19","prod","1-14,16-29","[30]31-39[40]41-49,100[50]558,59,57,58",14,49,29,50,NA,NA,"30,40,50",""
"94","infinity-078","49","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,60,31,40,"60,70,80,90",""
"95","infinity-078","49","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,70,NA,NA,"60,70,80,90",""
"96","infinity-078","49","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,80,NA,NA,"60,70,80,90",""
"97","infinity-078","49","prod","1-30,41-59","[60]61-69,50[70]71-79,70[80]81-89[90]91-99[100]",30,99,59,90,NA,NA,"60,70,80,90",""
"98","infinity-079","8","nonprod","1-12,14,16,17-29,40","[30],21,22-29,20-30,40,[30],31-38,29,[30]",12,29,NA,NA,13,13,NA,""
"99","infinity-079","8","nonprod","1-12,14,16,17-29,40","[30],21,22-29,20-30,40,[30],31-38,29,[30]",12,29,NA,NA,15,15,NA,""
"100","infinity-080","51","nonprod","1-36,39","[40],41-44",36,44,39,40,37,38,"40",""
"101","infinity-081","50","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,50,34,43,"50,60,70,80",""
"102","infinity-081","50","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,60,76,76,"50,60,70,80",""
"103","infinity-081","50","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,70,NA,NA,"50,60,70,80",""
"104","infinity-081","50","prod","1-33,44-49,40-49,40,10","[50],51-59,[60],61-69,[70],71-75,77-79,[80]",33,79,49,80,NA,NA,"50,60,70,80",""
"105","infinity-084","89","prod","1-77,79-87,89-100,idk",NA,77,99,NA,NA,78,78,NA,""
"106","infinity-084","89","prod","1-77,79-87,89-100,idk",NA,77,99,NA,NA,88,88,NA,""
"107","infinity-085","46","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,50,30,39,"50,60,70,80,90",""
"108","infinity-085","46","prod","1-29,40-49,44-49,40,42-49,40","[50]51-59,58,59,58,59[60]61-65,68,69[70]71-75,73,74,76-79[80]81-89[90]idk",29,89,49,60,66,67,"50,60,70,80,90",""
