"","LadlabID","IHC","Age","Productivity","Productivity.tertiary","ProductivityStrict","ProductivityStrict.tertiary","score","perc"
"34","infinity-049",19,4.39,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"35","infinity-052",6,4.06,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",6,0.75
"36","infinity-053",12,4.22,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",1,0.125
"37","infinity-054",10,4.56,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",1,0.125
"38","infinity-055",99,4.65,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",7,0.875
"39","infinity-056",99,4.18,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",6,0.75
"40","infinity-057",76,4.94,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",7,0.875
"41","infinity-058",99,5.35,"Productive","Productive (IHC ≥ 99)","Productive","Productive (IHC ≥ 99)",8,1
"42","infinity-059",39,4.62,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",7,0.875
"43","infinity-062",19,4.84,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",3,0.375
"44","infinity-066",15,4.76,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"45","infinity-067",20,4.34,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",0,0
"46","infinity-068",39,4.89,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",4,0.5
"47","infinity-070",38,4.8,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",5,0.625
"48","infinity-071",39,4.45,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",4,0.5
"49","infinity-073",15,4.61,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",1,0.125
"50","infinity-074",14,4.25,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",2,0.25
"51","infinity-075",29,5.35,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",6,0.75
"52","infinity-076",69,5.41,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",5,0.625
"53","infinity-077",14,4.84,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",3,0.375
"54","infinity-078",30,4.79,"Productive","Productive (IHC < 99)","Productive","Productive (IHC < 99)",4,0.5
"55","infinity-079",12,4.39,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",2,0.25
"56","infinity-080",36,4.82,"Nonproductive","Nonproductive","Nonproductive","Nonproductive",2,0.25
